cip6,field,category
512311,Kinesiotherapy/kinesiotherapist,NSTEM
512312,Assistive/augmentative technology and rehabilitation engineering,NSTEM
512313,Animal-assisted therapy,NSTEM
512314,Rehabilitation science,NSTEM
512501,"Veterinary sciences/veterinary clinical sciences, general",NSTEM
512503,Veterinary physiology,NSTEM
512504,Veterinary microbiology and immunobiology,NSTEM
512505,Veterinary pathology and pathobiology,NSTEM
512506,Veterinary toxicology and pharmacology,NSTEM
512507,Large animal/food animal and equine surgery and medicine,NSTEM
512508,Small/companion animal surgery and medicine,NSTEM
512509,Comparative and laboratory animal medicine,NSTEM
51251,Veterinary preventive medicine epidemiology and public health,NSTEM
512511,Veterinary infectious diseases,NSTEM
512599,"Veterinary biomedical and clinical sciences, other",NSTEM
513101,Dietetics/dietitian,NSTEM
513102,Clinical nutrition/nutritionist,NSTEM
513104,Dietitian Assistant,NSTEM
513199,"Dietetics and clinical nutrition services, other",NSTEM
5133,"Alternative and complementary medicine and medical systems, general",NSTEM
513301,Acupuncture,NSTEM
513302,Traditional chinese/asian medicine and chinese herbology,NSTEM
513303,Naturopathic Medicine/Naturopathy,NSTEM
513305,Ayurvedic medicine/ayurveda,NSTEM
513306,Holistic health,NSTEM
513399,"Alternative and complementary medicine and medical systems, other",NSTEM
513401,Direct entry midwifery,NSTEM
513499,"Alternative and complementary medical support services, other",NSTEM
513502,Asian bodywork therapy,NSTEM
513599,"Somatic Bodywork and Related Therapeutic Services, Other",NSTEM
513602,Yoga Teacher Training/Yoga Therapy,NSTEM
513699,"Movement and mind-body therapies and education, other",NSTEM
513702,Herbalism/herbalist,NSTEM
513799,"Energy and biologically based therapies, other",NSTEM
513801,Registered nursing/registered nurse,NSTEM
513802,Nursing administration,NSTEM
513803,Adult health nurse/nursing,NSTEM
513804,Nurse anesthetist,NSTEM
513805,Family practice nurse/nursing,NSTEM
513806,Maternal/child health and neonatal nurse/nursing,NSTEM
513807,Nurse midwife/nursing midwifery,NSTEM
513808,Nursing science,NSTEM
513809,Pediatric nurse/nursing,NSTEM
51381,Psychiatric/mental health nurse/nursing,NSTEM
513811,Public health/community nurse/nursing,NSTEM
513812,Perioperative/operating room and surgical nurse/nursing,NSTEM
513813,Clinical nurse specialist,NSTEM
513814,Critical care nursing,NSTEM
513815,Occupational and environmental health nursing,NSTEM
513816,Emergency room/trauma nursing,NSTEM
513817,Nursing education,NSTEM
513818,Nursing practice,NSTEM
513819,Palliative care nursing,NSTEM
51382,Clinical nurse leader,NSTEM
513821,Geriatric nurse/nursing,NSTEM
513822,Women's health nurse/nursing,NSTEM
513899,"Registered nursing, nursing administration, nursing research and clinical nursing",NSTEM
513999,"Practical nursing, vocational nursing and nursing assistants, other",NSTEM
519999,"Health professions and related clinical sciences, other",NSTEM
270101,"Mathematics, general",NSTEM
270103,Analysis and functional analysis,NSTEM
270199,"Mathematics, other",NSTEM
270301,Applied mathematics,NSTEM
270303,Computational mathematics,NSTEM
270304,Computational and applied mathematics,NSTEM
270305,Financial mathematics,NSTEM
270306,Mathematical biology,NSTEM
270399,"Applied mathematics, other",NSTEM
270501,"Statistics, general",NSTEM
270502,Mathematical statistics and probability,NSTEM
270503,Mathematics and statistics,NSTEM
270599,"Statistics, other",NSTEM
279999,"Mathematics and statistics, other",NSTEM
521302,Business statistics,NSTEM
521304,Actuarial science,NSTEM
400201,Astronomy,NSTEM
400202,Astrophysics,NSTEM
400203,Planetary astronomy and science,NSTEM
400299,"Astronomy and astrophysics, other",NSTEM
400501,"Chemistry, general",NSTEM
400502,Analytical chemistry,NSTEM
400503,Inorganic chemistry,NSTEM
400504,Organic chemistry,NSTEM
400506,Physical and theoretical chemistry,NSTEM
400507,Polymer chemistry,NSTEM
400508,Chemical physics,NSTEM
400509,Environmental chemistry,NSTEM
40051,Forensic chemistry,NSTEM
400511,Theoretical chemistry,NSTEM
400599,"Chemistry, other",NSTEM
512004,Medicinal and pharmaceutical chemistry,NSTEM
400801,"Physics, general",NSTEM
400802,Atomic/molecular physics,NSTEM
400804,Elementary particle physics,NSTEM
400806,Nuclear physics,NSTEM
400807,Optics/optical sciences,NSTEM
400808,Solid state and low-temperature physics,NSTEM
400809,Acoustics,NSTEM
40081,Theoretical and mathematical physics,NSTEM
400899,"Physics, other",NSTEM
400101,Physical sciences,NSTEM
401002,Materials chemistry,NSTEM
401099,"Materials sciences, other",NSTEM
409999,"Physical sciences, other",NSTEM
140201,"Aerospace, aeronautical, and astronautical engineering",NSTEM
140501,Bioengineering and biomedical engineering,NSTEM
140701,Chemical engineering,NSTEM
140702,Chemical and biomolecular engineering,NSTEM
140799,"Chemical engineering, other",NSTEM
140801,"Civil engineering, general",NSTEM
140802,Geotechnical engineering,NSTEM
140803,Structural engineering,NSTEM
140804,Transportation and highway engineering,NSTEM
140805,Water resources engineering,NSTEM
140899,"Civil engineering, other",NSTEM
141001,Electrical and electronics engineering,NSTEM
141003,Laser and optical engineering,NSTEM
141004,Telecommunications engineering,NSTEM
141099,"Electrical, electronics and communications engineering, other",NSTEM
143501,Industrial engineering,NSTEM
143601,Manufacturing engineering,NSTEM
151501,Engineering/industrial management,NSTEM
141801,Materials engineering,NSTEM
401001,Materials science,NSTEM
141901,Mechanical engineering,NSTEM
140101,"Engineering, general",NSTEM
140102,Pre-engineering,NSTEM
140301,Agricultural/biological engineering and bioengineering,NSTEM
140401,Architectural engineering,NSTEM
140601,Ceramic sciences and engineering,NSTEM
140901,"Computer engineering, general",NSTEM
140902,Computer hardware engineering,NSTEM
140903,Computer software engineering,NSTEM
140999,"Computer engineering, other",NSTEM
141101,Engineering mechanics,NSTEM
141201,Engineering physics,NSTEM
141301,Engineering science,NSTEM
141401,Environmental/environmental health engineering,NSTEM
142001,Metallurgical engineering,NSTEM
142101,Mining and mineral engineering,NSTEM
142201,Naval architecture and marine engineering,NSTEM
142301,Nuclear engineering,NSTEM
142401,Ocean engineering,NSTEM
142501,Petroleum engineering,NSTEM
142701,Systems engineering,NSTEM
142801,Textile sciences and engineering,NSTEM
143201,Polymer/plastics engineering,NSTEM
143301,Construction engineering,NSTEM
143401,Forest engineering,NSTEM
143701,Operations research,NSTEM
143801,Surveying engineering,NSTEM
143901,Geological/geophysical engineering,NSTEM
144001,Paper science and engineering,NSTEM
144101,Electromechanical engineering,NSTEM
144201,"Mechatronics, robotics, and automation engineering",NSTEM
144301,Biochemical engineering,NSTEM
144401,Engineering chemistry,NSTEM
144501,Biological/biosystems engineering,NSTEM
149999,"Engineering, other",NSTEM
450702,Cartography,NSTEM
450201,Anthropology,nsfstem
450202,Physical anthropology,nsfstem
450203,Medical anthropology,nsfstem
450204,Cultural anthropology,nsfstem
450299,"Anthropology, other",nsfstem
450601,"Economics, general",nsfstem
450602,Applied economics,nsfstem
450603,Econometrics and quantitative economics,nsfstem
450604,Development economics and international development,nsfstem
450605,International economics,nsfstem
450699,"Economics, other",nsfstem
451001,"Political science and government, general",nsfstem
451002,American government and politics (United States),nsfstem
451004,Political economy,nsfstem
451099,"Political science and government, other",nsfstem
420101,"Psychology, general",nsfstem
422701,Cognitive psychology and psycholinguistics,nsfstem
422702,Comparative psychology,nsfstem
