cip6,field,category
99999,"Communication, Journalism, and Related Programs, Other",nonstem
130504,Educational/Instruction Media Design,nonstem
143101,Materials Science (401001),NSTEM
190204,Family and Consumer Sciences/Human Sciences,nonstem
210199,Technology Education/Industrial Arts,nonstem
220002,"Legal Studies, General",nonstem
230501,Creative writing,nonstem
231101,Technical and business writing,nonstem
260603,Ecology (261301),NSTEM
260617,Evolutionary Biology (261303),NSTEM
260621,Biological and Biomedical Sciences (269999),NSTEM
260699,Biomedical Sciences/Other Biological Specializations,NSTEM
260906,Neurobiology and Neurophysiology,NSTEM
302401,Neuroscience,NSTEM
320109,Second Language Learning,nonstem
421101,Physiological Psychology/Psychobiology,nsfstem
47,"Mechanics and Repairers, General",nonstem
480501,Machine Tool Technology/Machinist,nonstem
480503,Machine Shop Technology/Assistant,nonstem
490109,"Air Transportation, Other",nonstem
490202,Construction/Heavy Equipment/Earthmoving Equipment Operation,nonstem
500503,Acting/Directing (500588),nonstem
500704,Arts Management,nonstem
511106,Pre-chiropractic Studies,nonstem
513202,Health Professions Education,nonstem
514001,Other Health,nonstem
521703,Insurance,nonstem
